row_index,element,Te,Ne
686,Y,7888.888888888889,2.23e+18
687,Yb,7888.888888888889,2.23e+18
688,Zn,7888.888888888889,2.23e+18
689,Ag,7888.888888888889,3.34e+18
690,Al,7888.888888888889,3.34e+18
691,Ar,7888.888888888889,3.34e+18
692,As,7888.888888888889,3.34e+18
693,Au,7888.888888888889,3.34e+18
694,B,7888.888888888889,3.34e+18
695,Ba,7888.888888888889,3.34e+18
696,Be,7888.888888888889,3.34e+18
697,C,7888.888888888889,3.34e+18
698,Ca,7888.888888888889,3.34e+18
699,Cd,7888.888888888889,3.34e+18
700,Ce,7888.888888888889,3.34e+18
701,Cl,7888.888888888889,3.34e+18
702,Co,7888.888888888889,3.34e+18
703,Cr,7888.888888888889,3.34e+18
704,Cu,7888.888888888889,3.34e+18
705,Dy,7888.888888888889,3.34e+18
706,Er,7888.888888888889,3.34e+18
707,F,7888.888888888889,3.34e+18
708,Fe,7888.888888888889,3.34e+18
709,Gd,7888.888888888889,3.34e+18
710,He,7888.888888888889,3.34e+18
711,Hg,7888.888888888889,3.34e+18
712,Ho,7888.888888888889,3.34e+18
713,K,7888.888888888889,3.34e+18
714,La,7888.888888888889,3.34e+18
715,Li,7888.888888888889,3.34e+18
716,Lu,7888.888888888889,3.34e+18
717,Mg,7888.888888888889,3.34e+18
718,Mn,7888.888888888889,3.34e+18
719,Mo,7888.888888888889,3.34e+18
720,N,7888.888888888889,3.34e+18
721,Na,7888.888888888889,3.34e+18
722,Nd,7888.888888888889,3.34e+18
723,Ni,7888.888888888889,3.34e+18
724,O,7888.888888888889,3.34e+18
725,P,7888.888888888889,3.34e+18
726,Pb,7888.888888888889,3.34e+18
727,Pr,7888.888888888889,3.34e+18
728,Pt,7888.888888888889,3.34e+18
729,S,7888.888888888889,3.34e+18
730,Si,7888.888888888889,3.34e+18
731,Sm,7888.888888888889,3.34e+18
732,Sn,7888.888888888889,3.34e+18
733,Sr,7888.888888888889,3.34e+18
734,Ta,7888.888888888889,3.34e+18
735,Tb,7888.888888888889,3.34e+18
736,Ti,7888.888888888889,3.34e+18
737,V,7888.888888888889,3.34e+18
738,W,7888.888888888889,3.34e+18
739,Y,7888.888888888889,3.34e+18
740,Yb,7888.888888888889,3.34e+18
741,Zn,7888.888888888889,3.34e+18
742,Ag,7888.888888888889,4.45e+18
743,Al,7888.888888888889,4.45e+18
744,Ar,7888.888888888889,4.45e+18
745,As,7888.888888888889,4.45e+18
746,Au,7888.888888888889,4.45e+18
747,B,7888.888888888889,4.45e+18
748,Ba,7888.888888888889,4.45e+18
749,Be,7888.888888888889,4.45e+18
750,C,7888.888888888889,4.45e+18
751,Ca,7888.888888888889,4.45e+18
752,Cd,7888.888888888889,4.45e+18
753,Ce,7888.888888888889,4.45e+18
754,Cl,7888.888888888889,4.45e+18
755,Co,7888.888888888889,4.45e+18
756,Cr,7888.888888888889,4.45e+18
757,Cu,7888.888888888889,4.45e+18
758,Dy,7888.888888888889,4.45e+18
759,Er,7888.888888888889,4.45e+18
760,F,7888.888888888889,4.45e+18
761,Fe,7888.888888888889,4.45e+18
762,Gd,7888.888888888889,4.45e+18
763,He,7888.888888888889,4.45e+18
764,Hg,7888.888888888889,4.45e+18
765,Ho,7888.888888888889,4.45e+18
766,K,7888.888888888889,4.45e+18
767,La,7888.888888888889,4.45e+18
768,Li,7888.888888888889,4.45e+18
769,Lu,7888.888888888889,4.45e+18
770,Mg,7888.888888888889,4.45e+18
771,Mn,7888.888888888889,4.45e+18
772,Mo,7888.888888888889,4.45e+18
773,N,7888.888888888889,4.45e+18
774,Na,7888.888888888889,4.45e+18
775,Nd,7888.888888888889,4.45e+18
776,Ni,7888.888888888889,4.45e+18
777,O,7888.888888888889,4.45e+18
778,P,7888.888888888889,4.45e+18
